supreme_case_number,supreme_case_link,appeals_case_number,appeals_case_link,source_type,verdict_date,decision_status
2025-176,https://island.is/s/haestirettur/akvardanir/82abcb14-e488-45db-8244-b7aa5e60b9f1,859/2024,https://island.is/domar/g-fb93d5b1-a689-4412-9d80-3f98f2733871,ákvörðun,16. febrúar 2026,Hafnað
5/2026,https://island.is/domar/s-146a4bf4-8f44-4894-91d9-eed7138d6ee4,851/2025,https://island.is/domar/g-a1ea016d-85a4-4188-b3ff-bbe2e99568a5,dóm,20. febrúar 2026,
2025-173,https://island.is/s/haestirettur/akvardanir/971e6865-6c54-4547-a17e-3a71e090e840,685/2025,https://island.is/domar/g-13cf572c-0042-404c-9b7e-87020c1c2a1f,ákvörðun,19. febrúar 2026,Hafnað
2025-172,https://island.is/s/haestirettur/akvardanir/22464ba7-3dd9-46c7-9c67-f7b598848c9c,656/2024,https://island.is/domar/g-83a396b9-66fb-4f44-a0e8-5f3e80e27b6c,ákvörðun,23. febrúar 2026,Samþykkt
2026-14,https://island.is/s/haestirettur/akvardanir/862a3bfb-46f9-4b11-922a-d25f96ac652f,830/2024,https://island.is/domar/g-70a9210b-e3d2-464c-bc57-f37e084dd572,ákvörðun,26. febrúar 2026,Hafnað
65/2025,https://island.is/domar/s-954d3b49-eb3e-4cf0-a0bc-3dbe9aca3612,241/2025,https://island.is/domar/g-a41f1692-27f7-4d6e-b22b-2f7bf0bd3011,dóm,4. mars 2026,
2025-183,https://island.is/s/haestirettur/akvardanir/f11dd700-5b49-4e4f-94fc-e737522a0899,119/2025,https://island.is/domar/g-d6201b6a-6dd5-4b26-9f58-adc102e9a68b,ákvörðun,27. febrúar 2026,Samþykkt
2025-177,https://island.is/s/haestirettur/akvardanir/c1d2d71d-d837-4a2a-b8da-996583e0cfb1,1005/2024,https://island.is/domar/g-06bbf370-fc7e-4a71-90c7-2bf9fa2356c7,ákvörðun,27. febrúar 2026,Hafnað
2025-187,https://island.is/s/haestirettur/akvardanir/ad519e16-3d0c-4e27-ab97-6ea4ea132120,782/2025,https://island.is/domar/g-89ec2ca2-e744-4c94-ba8e-2cc09a5c8cea,ákvörðun,27. febrúar 2026,Hafnað
2026-9,https://island.is/s/haestirettur/akvardanir/cf431ea3-f24b-4017-be76-751ae4861693,841/2025,https://island.is/domar/g-ab4d1ad5-6689-417f-8d6e-c9b15f4f55fe,ákvörðun,5. mars 2026,Samþykkt
2026-18,https://island.is/s/haestirettur/akvardanir/e7e69a52-34a5-486f-8bb8-2fe3dee2d221,50/2025,https://island.is/domar/g-a0b22890-c39e-4f3c-9ed6-5edf7a70c6d2,ákvörðun,5. mars 2026,Hafnað
58/2025,https://island.is/domar/s-882652d7-a4be-4f56-a0dd-3f466c46d11f,200/2025,https://island.is/domar/g-570b36b5-c45d-4eee-9af9-95cfac70247d,dóm,11. mars 2026,
28/2025,https://island.is/domar/s-88e2da16-26b6-4bc0-b6b7-51e29668eacf,324/2024,https://island.is/domar/g-aacfc454-1ca5-445a-bca7-36f99aa92966,dóm,11. mars 2026,
2025-186,https://island.is/s/haestirettur/akvardanir/3ac69024-e013-4fb1-bd13-5072950bf32d,826/2024,https://island.is/domar/g-5885db1f-7b33-4aee-851a-9dbca28b215c,ákvörðun,10. mars 2026,Hafnað
2025-185,https://island.is/s/haestirettur/akvardanir/52819e28-e4c1-47bf-ae81-3a8ccc3729c6,864/2024,https://island.is/domar/g-85e8fa8c-046e-4641-bc6e-ad3fad7086b9,ákvörðun,10. mars 2026,Samþykkt
14/2026,https://island.is/domar/s-994e5e09-e41c-4700-b3be-0ff0832029c6,841/2025,https://island.is/domar/g-ab4d1ad5-6689-417f-8d6e-c9b15f4f55fe,dóm,13. mars 2026,
34/2025,https://island.is/domar/s-570d738c-4df3-427c-b4e0-0a8b9d2da5a6,40/2024,https://island.is/domar/g-ee035229-aaae-40f5-bdd7-e09b14367712,dóm,18. mars 2026,
42/2025,https://island.is/domar/s-5a6524e2-878b-4b84-a13a-cbfdae97e688,867/2023,https://island.is/domar/g-a8c049e1-9dbb-4ff5-b677-cd18eeb10315,dóm,18. mars 2026,
